id,name,birthdate,deathdate
114,Akira Terao,1947-05-18T00:00:00.000,
115,Akiva Goldsman,1962-07-07T00:00:00.000,
116,Akiva Schaffer,1977-12-01T00:00:00.000,
117,Akon,1973-04-16T00:00:00.000,
118,Aksel Hennie,1975-10-29T00:00:00.000,
119,Akshaye Khanna,1975-03-28T00:00:00.000,
120,Al Cliver,1951-07-16T00:00:00.000,
121,Al Franklin,,
122,Al Freeman Jr.,1931-03-21T00:00:00.000,2012-08-09T00:00:00.000
123,Al Gore,1948-03-31T00:00:00.000,
124,Al Leong,1952-09-30T00:00:00.000,
125,Al Pacino,1940-04-25T00:00:00.000,
126,Al Roker,1954-08-20T00:00:00.000,
127,Al Sapienza,1956-07-31T00:00:00.000,
128,Al Silliman Jr.,1941-04-07T00:00:00.000,
129,Alain Delon,1935-11-08T00:00:00.000,
130,Alain Resnais,1922-06-03T00:00:00.000,2014-03-01T00:00:00.000
131,Alan Alda,1936-01-28T00:00:00.000,
132,Alan Autry,1952-07-31T00:00:00.000,
133,Alan Bates,1934-02-17T00:00:00.000,2003-12-27T00:00:00.000
134,Alan Brent,,
135,Alan Cohn,1957-01-12T00:00:00.000,
136,Alan D. Purwin,1961-08-28T00:00:00.000,2015-09-11T00:00:00.000
137,Alan Dale,1947-05-06T00:00:00.000,
138,Alan David,1947-11-30T00:00:00.000,
139,Alan Ford,1938-02-23T00:00:00.000,
140,Alan Hale,1947-05-06T00:00:00.000,
141,Alan Hale Jr.,1921-03-08T00:00:00.000,1990-01-02T00:00:00.000
142,Alan J. Pakula,1928-04-07T00:00:00.000,1998-11-19T00:00:00.000
143,Alan Jacobs,,
144,Alan Metter,1933-08-19T00:00:00.000,
145,Alan Oppenheimer,1930-04-23T00:00:00.000,
146,Alan Parker,1944-02-14T00:00:00.000,
147,Alan Pietruszewski,,
148,Alan Poul,,
149,Alan Rickman,1946-02-21T00:00:00.000,2016-01-14T00:00:00.000
150,Alan Ruck,1956-07-01T00:00:00.000,
151,Alan Rudolph,1943-12-18T00:00:00.000,
152,Alan Shapiro,,
153,Alan Taylor,,
154,Alan Van Sprang,1971-06-19T00:00:00.000,
155,Alan Williams,,
156,Alan Young,1919-11-19T00:00:00.000,2016-05-19T00:00:00.000
157,Alan Yuen,,
158,Alana Kaniewski,,
159,Alanna Ubach,1975-10-03T00:00:00.000,
160,Alastair Duncan,,
161,Alba Rohrwacher,1979-02-27T00:00:00.000,
162,Albert Brooks,1947-07-22T00:00:00.000,
163,Albert Delpy,1941-09-13T00:00:00.000,
164,Albert Dupontel,1964-01-11T00:00:00.000,
165,Albert Finney,1936-05-09T00:00:00.000,
166,Albert Hughes,1972-04-01T00:00:00.000,
167,Albert Maysles,1926-11-26T00:00:00.000,2015-03-05T00:00:00.000
168,Albert Salmi,1928-03-11T00:00:00.000,1990-04-22T00:00:00.000
169,Alden Ehrenreich,1989-11-22T00:00:00.000,
170,Aldis Hodge,1986-09-20T00:00:00.000,
171,Aldo Sambrell,1931-02-23T00:00:00.000,2010-07-10T00:00:00.000
172,Alec Asten,,
173,Alejandro Agresti,1961-06-02T00:00:00.000,
174,Alejandro Amen�bar,1972-03-31T00:00:00.000,
175,Alejandro Furth,,
176,Alejandro G. I��rritu,1963-08-15T00:00:00.000,
177,Alejandro Monteverde,1977-07-13T00:00:00.000,
178,Aleksa Palladino,1980-09-21T00:00:00.000,
179,Aleksandr Bashirov,1955-09-24T00:00:00.000,
180,Aleksandr Veledinskiy,1959-07-27T00:00:00.000,
181,Aleksey Chadov,1981-09-02T00:00:00.000,
182,Aleksey German,1976-09-04T00:00:00.000,
183,Aleksey Serebryakov,1964-06-03T00:00:00.000,
184,Alessandra Mastronardi,1986-02-18T00:00:00.000,
185,Alessandro Carloni,,
186,Alessandro Nivola,1972-06-28T00:00:00.000,
187,Alessandro Preziosi,1973-04-19T00:00:00.000,
188,�lex Angulo,1953-04-12T00:00:00.000,2014-07-20T00:00:00.000
189,Alex Borstein,1973-02-15T00:00:00.000,
190,Alex Cox,1954-12-15T00:00:00.000,
191,Alex Craig Mann,,
192,�lex de la Iglesia,1965-12-04T00:00:00.000,
193,Alex D�sert,1968-07-18T00:00:00.000,
194,Alex Emanuel,,
195,Alex Garland,1970-05-26T00:00:00.000,
196,Alex Gibney,1953-10-23T00:00:00.000,
197,Alex Huszar,,
198,Alex Jennings,1957-05-10T00:00:00.000,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,1957-03-06T00:00:00.000,
204,Alex Meraz,1985-01-10T00:00:00.000,
205,Alex Pettyfer,1990-04-10T00:00:00.000,
206,Alex Proyas,1963-09-23T00:00:00.000,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,1936-02-29T00:00:00.000,2015-07-18T00:00:00.000
210,Alex Russell,1987-12-11T00:00:00.000,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,1952-08-14T00:00:00.000,
214,Alex Veadov,1962-04-15T00:00:00.000,
215,Alex Vincent,1981-04-29T00:00:00.000,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,1982-05-28T00:00:00.000,
219,Alexa Havins,1980-11-16T00:00:00.000,
220,Alexa PenaVega,1988-08-27T00:00:00.000,
221,Alexander Gould,1994-05-04T00:00:00.000,
222,Alexander Payne,1961-02-10T00:00:00.000,
223,Alexander Skarsg�rd,1976-08-25T00:00:00.000,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,1979-06-29T00:00:00.000,
227,Alexandra Breckenridge,1982-05-15T00:00:00.000,
228,Alexandra Callas,,
229,Alexandra Holden,1977-04-30T00:00:00.000,
230,Alexandra Maria Lara,1978-11-12T00:00:00.000,
231,Alexandra Rapaport,1971-12-26T00:00:00.000,
232,Alexandra Silber,1983-07-03T00:00:00.000,
233,Alexandre Aja,1978-08-07T00:00:00.000,
234,Alexandre Rodrigues,1983-05-21T00:00:00.000,
235,Alexandru Potocean,1984-04-21T00:00:00.000,
236,Alexia Fast,1992-09-12T00:00:00.000,
237,Alexia Rasmussen,,
238,Alexis Arquette,1969-07-28T00:00:00.000,2016-09-11T00:00:00.000
239,Alexis Biesiada,,
240,Alexis Dziena,1984-07-08T00:00:00.000,
241,Alexis Kendra,,
242,Alfie Allen,1986-09-12T00:00:00.000,
243,Alfonso Cuar�n,1961-11-28T00:00:00.000,
244,Alfre Woodard,1952-11-08T00:00:00.000,
245,Alfred Enoch,1988-12-02T00:00:00.000,
246,Alfred Hitchcock,1899-08-13T00:00:00.000,1980-04-29T00:00:00.000
247,Ali Daniels,1963-06-13T00:00:00.000,
248,Ali Hillis,1978-12-29T00:00:00.000,
249,Alia Shawkat,1989-04-18T00:00:00.000,
250,Alice Braga,1983-04-15T00:00:00.000,
251,Alice Cooper,1948-02-04T00:00:00.000,
252,Alice Englert,1994-06-15T00:00:00.000,
253,Alice Evans,,
254,Alice Greczyn,1986-02-06T00:00:00.000,
255,Alice Krige,1954-06-28T00:00:00.000,
256,Alice Olivia Clarke,,
257,Alice Playten,1947-08-28T00:00:00.000,2011-06-25T00:00:00.000
258,Alice Pol,,
259,Alice Wu,1970-04-21T00:00:00.000,
260,Alicia Goranson,1974-06-22T00:00:00.000,
261,Alicia Keys,1981-01-25T00:00:00.000,
262,Alicia Sixtos,1988-05-27T00:00:00.000,
263,Alicia Witt,1975-08-21T00:00:00.000,
264,Alicia Ziegler,1981-05-02T00:00:00.000,
265,Alicja Bachleda,1983-05-12T00:00:00.000,
266,Aliou Tour�,,
267,Alisha Boe,1997-03-06T00:00:00.000,
268,Alison Brie,1982-12-29T00:00:00.000,
269,Alison Chand,,
270,Alison Doody,1966-11-11T00:00:00.000,
271,Alison Lohman,1979-09-18T00:00:00.000,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,1948-04-30T00:00:00.000,
277,Allan Dwan,1885-04-03T00:00:00.000,1981-12-28T00:00:00.000
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,1964-10-13T00:00:00.000,
281,Allen Hughes,1972-04-01T00:00:00.000,
282,Allen Leech,1981-05-18T00:00:00.000,
283,Allen Payne,1968-07-07T00:00:00.000,
284,Allison Anders,1954-11-16T00:00:00.000,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,1985-09-02T00:00:00.000,
288,Allison Tolman,1981-11-18T00:00:00.000,
289,Ally Sheedy,1962-06-13T00:00:00.000,
290,Ally Walker,1961-08-25T00:00:00.000,
291,Alma Martinez,1953-03-18T00:00:00.000,
292,Alona Tal,1983-10-20T00:00:00.000,
293,Alonna Shaw,,
294,Alun Armstrong,1946-07-17T00:00:00.000,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,1974-03-24T00:00:00.000,
297,Alyson Stoner,1993-08-11T00:00:00.000,
298,Amal Al-Agroobi,,
299,Amanda Detmer,1971-09-27T00:00:00.000,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,1967-04-22T00:00:00.000,
304,Amanda Plummer,1957-03-23T00:00:00.000,
305,Amanda Redman,1957-08-12T00:00:00.000,
306,Amanda Schull,1978-08-26T00:00:00.000,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,1960-11-24T00:00:00.000,
310,Amat Escalante,1979-02-28T00:00:00.000,
311,Amber Armstrong,,
312,Amber Benson,1977-01-08T00:00:00.000,
313,Amber Marie Bollinger,,
314,Amber Marshall,1988-06-02T00:00:00.000,
315,Amber Rose Revah,1986-06-24T00:00:00.000,
316,Amber Stevens West,1986-10-07T00:00:00.000,
317,Amber Valletta,1974-02-09T00:00:00.000,
318,Amelia Giancarlo,,
319,Amelia Warner,1982-06-04T00:00:00.000,
320,America Ferrera,1984-04-18T00:00:00.000,
321,America Olivo,1978-01-05T00:00:00.000,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,1935-08-02T00:00:00.000,2013-09-19T00:00:00.000
325,Amir Farrokh Hashemian,,
326,Amir Talai,1977-06-24T00:00:00.000,
327,Aml Ameen,1985-07-30T00:00:00.000,
328,Amos Oz,1939-05-04T00:00:00.000,
329,Amr Waked,1973-04-12T00:00:00.000,
330,Amrish Puri,1932-06-22T00:00:00.000,2005-01-12T00:00:00.000
331,Amy Badberg,,
332,Amy Brenneman,1964-06-22T00:00:00.000,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,1970-01-27T00:00:00.000,
336,Amy Heckerling,1952-05-07T00:00:00.000,
337,Amy Hill,1953-05-09T00:00:00.000,
338,Amy Holden Jones,,
339,Amy Irving,1953-09-10T00:00:00.000,
340,Amy Locane,1971-12-19T00:00:00.000,
341,Amy Lucas,,
342,Amy Madigan,1950-09-11T00:00:00.000,
343,Amy Poehler,1971-09-16T00:00:00.000,
344,Amy Ryan,1968-05-03T00:00:00.000,
345,Amy Schumer,1981-06-01T00:00:00.000,
346,Amy Sedaris,1961-03-29T00:00:00.000,
347,Amy Steel,1960-05-03T00:00:00.000,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,1962-09-12T00:00:00.000,
351,Ana Claudia Talanc�n,1980-05-01T00:00:00.000,
352,Ana de la Reguera,1977-04-08T00:00:00.000,
353,Ana Gasteyer,1967-05-04T00:00:00.000,
354,Ana Imnadze,,
355,Ana Maria Guran,1995-10-06T00:00:00.000,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,1978-04-01T00:00:00.000,
359,Anand Tucker,1963-06-24T00:00:00.000,
360,Anatoliy Solonitsyn,1934-08-30T00:00:00.000,1982-06-11T00:00:00.000
361,Anders Holm,,
362,Andre Braugher,1962-07-01T00:00:00.000,
363,Andr� Dussollier,1946-02-17T00:00:00.000,
364,Andr� �vredal,,
365,Andr� Ramiro,1981-01-14T00:00:00.000,
366,Andr� T�chin�,,
367,Andr� the Giant,1946-05-19T00:00:00.000,1993-01-27T00:00:00.000
368,Andr� Wilms,,
369,Andrea Arnold,1961-04-05T00:00:00.000,
370,Andrea Corr,1960-12-12T00:00:00.000,
371,Andrea Di Stefano,1972-12-15T00:00:00.000,
372,Andrea Frankle,,
373,Andrea Martin,1947-01-15T00:00:00.000,
374,Andrea Ros,1993-05-03T00:00:00.000,
375,Andrea Savage,1973-02-20T00:00:00.000,
376,Andrea Vergara,1984-11-10T00:00:00.000,
377,Andrei Tarkovsky,1932-04-04T00:00:00.000,1986-12-29T00:00:00.000
378,Andrej Nahtigal,1942-09-04T00:00:00.000,
379,Andr�s Couturier,1977-02-05T00:00:00.000,
380,Andr�s Montiel,1975-01-30T00:00:00.000,
381,Andr�s Muschietti,,
382,Andrew Adamson,1966-12-01T00:00:00.000,
383,Andrew Airlie,1961-09-18T00:00:00.000,
384,Andrew Berends,,
385,Andrew Bergman,1945-02-20T00:00:00.000,
386,Andrew Bryniarski,1969-02-13T00:00:00.000,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,1971-04-15T00:00:00.000,
390,Andrew Davis,1946-11-21T00:00:00.000,
391,Andrew Dice Clay,1957-09-29T00:00:00.000,
392,Andrew Dominik,1967-10-07T00:00:00.000,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,1966-05-25T00:00:00.000,
396,Andrew Fleming,1965-12-30T00:00:00.000,
397,Andrew Garfield,1983-08-20T00:00:00.000,
398,Andrew Haigh,,
399,Andrew Hyatt,1982-08-19T00:00:00.000,
400,Andrew Jarecki,,
401,Andrew Keegan,1979-01-29T00:00:00.000,
402,Andrew Keir,1926-04-03T00:00:00.000,1997-10-05T00:00:00.000
403,Andrew Lawrence,1966-08-11T00:00:00.000,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,1964-06-10T00:00:00.000,
407,Andrew Rannells,1978-08-23T00:00:00.000,
408,Andrew Robinson,1942-02-14T00:00:00.000,
409,Andrew Simpson,,
410,Andrew Stanton,1965-12-03T00:00:00.000,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,1937-08-20T00:00:00.000,
415,Andrey Zvyagintsev,1964-02-06T00:00:00.000,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,1950-03-06T00:00:00.000,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,1973-09-02T00:00:00.000,
421,Andy Dick,1965-12-21T00:00:00.000,
422,Andy Fickman,,
423,Andy Garcia,1956-04-12T00:00:00.000,
424,Andy Lau,1961-09-27T00:00:00.000,
425,Andy On,1977-05-11T00:00:00.000,
426,Andy Richter,1966-10-28T00:00:00.000,
427,Andy Tennant,1955-06-15T00:00:00.000,
428,Ane Dahl Torp,1975-08-01T00:00:00.000,
429,Anella Vastola,,
430,Ang Lee,1954-10-23T00:00:00.000,
431,Angel Coulby,1980-08-30T00:00:00.000,
432,Angel David,,
433,Angela Bettis,1973-01-09T00:00:00.000,
434,Angela Cartwright,1952-09-09T00:00:00.000,
435,Angela Featherstone,1965-04-03T00:00:00.000,
436,Angela Jones,,
437,�ngela Molina,1955-10-05T00:00:00.000,
438,Angela Nordeng,,
439,Angela Robinson,1971-02-14T00:00:00.000,
440,Angela Sarafyan,1983-06-30T00:00:00.000,
441,Angelica Lee,1976-01-23T00:00:00.000,
442,Ang�lica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,1987-11-18T00:00:00.000,
445,Angelina Jolie Pitt,1975-06-04T00:00:00.000,
446,Angell Conwell,1983-08-02T00:00:00.000,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,1908-02-18T00:00:00.000,1991-09-21T00:00:00.000
450,Angelo Tsarouchas,,
451,Angie Dickinson,1931-09-30T00:00:00.000,
452,Angus Barnett,,
453,Angus Macfadyen,1963-09-21T00:00:00.000,
454,Angus Sampson,1979-02-12T00:00:00.000,
455,Angus Scrimm,1926-08-19T00:00:00.000,2016-01-09T00:00:00.000
456,Angus T. Jones,1993-10-08T00:00:00.000,
457,Anika Noni Rose,1972-09-06T00:00:00.000,
458,Anil Kapoor,1956-12-24T00:00:00.000,
459,Anil Kumar,,
460,Anita Briem,1982-05-29T00:00:00.000,
461,Anita Mui,1963-10-10T00:00:00.000,2003-12-30T00:00:00.000
462,Anita Page,1910-08-04T00:00:00.000,2008-09-06T00:00:00.000
463,Anjelica Huston,1951-07-08T00:00:00.000,
464,Ann Dowd,1956-01-30T00:00:00.000,
465,Ann Gillis,1927-02-12T00:00:00.000,
466,Ann Miller,1923-04-12T00:00:00.000,2004-01-22T00:00:00.000
467,Ann Morgan Guilbert,1928-10-16T00:00:00.000,2016-06-14T00:00:00.000
468,Ann Talman,1957-09-13T00:00:00.000,
469,Ann-Margret,1941-04-28T00:00:00.000,
470,Anna Boden,,
471,Anna Friel,1976-07-12T00:00:00.000,
472,Anna Gunn,1968-08-11T00:00:00.000,
473,Anna Harr,,
474,Anna Karina,1940-09-22T00:00:00.000,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,1985-08-09T00:00:00.000,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,1964-04-21T00:00:00.000,
481,Anna Nakagawa,1965-08-30T00:00:00.000,2014-10-17T00:00:00.000
482,Anna Silk,1974-01-31T00:00:00.000,
483,Anna Vareschi,,
484,Anna-Louise Plowman,1972-05-09T00:00:00.000,
485,Annabel Jankel,1955-08-01T00:00:00.000,
486,Annabella Sciorra,1960-03-29T00:00:00.000,
487,Annabelle Wallis,,
488,Annabeth Gish,1971-03-13T00:00:00.000,
489,Anne Archer,1947-08-24T00:00:00.000,
490,Anne Bancroft,1931-09-17T00:00:00.000,2005-06-06T00:00:00.000
491,Anne Fletcher,1966-05-01T00:00:00.000,
492,Anne Fontaine,1959-07-15T00:00:00.000,
493,Anne Hathaway,1982-11-12T00:00:00.000,
494,Anne Heche,1969-05-25T00:00:00.000,
495,Anne Meara,1929-09-20T00:00:00.000,2015-05-23T00:00:00.000
496,Anne Parillaud,1960-05-06T00:00:00.000,
497,Anne-Marie Duff,1970-10-08T00:00:00.000,
498,Anneliese van der Pol,1984-09-23T00:00:00.000,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,1950-08-26T00:00:00.000,
502,Annie Golden,1951-10-19T00:00:00.000,
503,Annie Parisse,1975-07-31T00:00:00.000,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony Chau-Sang Wong,1961-09-02T00:00:00.000,
509,Anthony Daniels,,
510,Anthony Edwards,1962-07-19T00:00:00.000,
511,Anthony Heald,1954-02-20T00:00:00.000,
512,Anthony Hemingway,,
513,Anthony Hickox,,
514,Anthony Hopkins,1937-12-31T00:00:00.000,
515,Anthony Johnson,,
516,Anthony L. Fernandez,,
517,Anthony LaPaglia,1959-01-31T00:00:00.000,
518,Anthony Mann,1906-06-30T00:00:00.000,1967-04-29T00:00:00.000
519,Anthony Minghella,1954-01-06T00:00:00.000,2008-03-18T00:00:00.000
520,Anthony O'Brien,,
521,Anthony Powell,1935-06-02T00:00:00.000,
522,Anthony Reynolds,1968-05-08T00:00:00.000,
523,Anthony Russo,1977-01-31T00:00:00.000,
524,Anthony Silverston,,
525,Anthony Simcoe,1969-06-07T00:00:00.000,
526,Anthony Vallone,,
527,Anthony Zerbe,1936-05-20T00:00:00.000,
528,Antoine Fuqua,1966-01-19T00:00:00.000,
529,Anton Corbijn,1955-05-20T00:00:00.000,
530,Antoni Corone,,
531,Antonia Bird,1951-05-27T00:00:00.000,2013-10-24T00:00:00.000
532,Antonia Thomas,1986-11-03T00:00:00.000,
533,Antonio Arru�,,
534,Antonio Banderas,1960-08-10T00:00:00.000,
535,Antonio de la Torre,1968-01-18T00:00:00.000,
536,Antonio Sabato Jr.,1972-02-29T00:00:00.000,
537,Antonio Simoncini,,
538,Antony Hoffman,,
539,Antony Starr,1975-10-25T00:00:00.000,
540,Anupam Kher,1955-03-07T00:00:00.000,
541,Anurag Basu,,
542,Anushka Shetty,1981-11-07T00:00:00.000,
543,Anwar Congo,,
544,April Winchell,1960-01-04T00:00:00.000,
545,Ara Celi,1967-06-19T00:00:00.000,
546,Aramis Knight,1999-10-03T00:00:00.000,
547,Arben Bajraktaraj,,
548,Arcelia Ram�rez,1967-12-07T00:00:00.000,
549,Archie Kao,1969-12-14T00:00:00.000,
550,Archie Panjabi,1972-05-31T00:00:00.000,
551,Aretha Franklin,1942-03-25T00:00:00.000,
552,Ari Folman,1962-12-17T00:00:00.000,
553,Ari Gold,,
554,Ari Graynor,1983-04-27T00:00:00.000,
555,Ari Kirschenbaum,,
556,Ari Sandel,,
557,Aria Noelle Curzon,1987-12-08T00:00:00.000,
558,Ariana Neal,,
559,Ariana Richards,1979-09-11T00:00:00.000,
560,Ariane Labed,,
561,Ariane Schluter,1966-02-01T00:00:00.000,
562,Arie Posin,,
563,Ariel Gade,1997-05-01T00:00:00.000,
564,Ariel Hsing,,
565,Ariel Vromen,1973-02-14T00:00:00.000,
566,Aries Spears,1975-04-03T00:00:00.000,
567,Arik Ascherman,,
568,Arjun Rampal,1972-11-26T00:00:00.000,
569,Arjun Sablok,,
570,Arliss Howard,1954-10-18T00:00:00.000,
571,Arly Jover,1971-02-02T00:00:00.000,
572,Armando Riesco,1977-12-05T00:00:00.000,
573,Armin Mueller-Stahl,1930-12-17T00:00:00.000,
574,Armin Rohde,1955-04-04T00:00:00.000,
575,Armin Shimerman,1949-11-05T00:00:00.000,
576,Art Carney,1918-11-04T00:00:00.000,2003-11-09T00:00:00.000
577,Art Hindle,1948-07-21T00:00:00.000,
578,Art Malik,1952-11-13T00:00:00.000,
579,Arthur Agee,1972-11-22T00:00:00.000,
580,Arthur Hiller,1923-11-22T00:00:00.000,2016-08-17T00:00:00.000
581,Arthur O'Connell,1908-03-29T00:00:00.000,1981-05-18T00:00:00.000
582,Arturo Castro,1955-12-19T00:00:00.000,
